,MT_FC,MT_p,MG_FC,MG_p,Comparison
K00743,,,-0.331143518,0.688620703,I_IV
K00745,-1.97437245,0.004964018,-6.253101664,7.53E-14,I_IV
K00748,-4.194584453,4.08E-08,-5.521079767,2.62E-11,I_IV
K00754,0.39132874,0.062623229,0.709047265,3.81E-07,I_IV
K00756,-4.891791459,2.98E-10,-5.454850268,3.73E-11,I_IV
K00757,-5.686383436,4.36E-12,-5.484281333,4.38E-11,I_IV
K00758,-0.408573918,0.623202394,-2.482061246,0.004873595,I_IV
K00759,0.663376429,0.074879971,-0.124720951,0.389100733,I_IV
K00760,0.330928664,0.308869478,0.563784492,3.50E-07,I_IV
K00761,1.558336477,4.31E-09,-0.268948983,0.009268675,I_IV
K00762,-0.791101148,0.105024729,-0.020699933,0.957420247,I_IV
K00763,0.534615624,0.027379949,0.297172203,0.001181083,I_IV
K00764,-5.231282908,2.30E-09,-5.995604189,1.35E-34,I_IV
K00765,0.854835457,0.258272144,-2.662034854,0.00081286,I_IV
K00766,-3.022388071,2.42E-05,-7.015326124,8.05E-20,I_IV
K00767,-5.127673756,5.62E-11,-5.079281244,2.82E-13,I_IV
K00768,-2.596571092,0.000572704,-4.581380531,2.78E-09,I_IV
K00769,0.932583856,0.05327108,0.007879122,0.995126935,I_IV
K00772,-3.695521784,6.39E-07,-5.096686838,9.02E-13,I_IV
K00773,-5.481782301,5.53E-12,-6.951360221,1.13E-36,I_IV
K00777,5.506572453,2.44E-15,2.047322722,1.50E-11,I_IV
K00782,-3.712562108,2.93E-05,-5.394251287,4.47E-12,I_IV
K00783,-0.719048475,0.177450274,1.490247399,3.94E-10,I_IV
K00784,1.57048467,1.26E-05,2.355276936,7.81E-17,I_IV
K00786,-2.807437274,0.000292863,-4.061836756,2.30E-08,I_IV
K00788,-3.212242074,2.16E-05,-5.762437386,2.96E-15,I_IV
K00789,0.232100627,0.33364622,0.019842961,0.931132872,I_IV
K00790,-0.031922419,0.895469293,-0.320971409,0.000166244,I_IV
K00791,-0.735905632,0.069086406,-0.13676939,0.198467981,I_IV
K00793,1.450448702,0.038528704,3.231810399,2.87E-13,I_IV
K00794,-0.95512011,0.153339051,2.81471258,1.41E-11,I_IV
K00795,0.522012999,0.302435821,-0.083505576,0.952988087,I_IV
K00796,-2.477421422,8.97E-05,-5.373106786,1.38E-25,I_IV
