UID,SID,CST,Color,Timepoint,Glycogen_debranch,Glycogen_phosphorylase,Sialidase,Fucosidase,Nactylgalactosaminidase,Alpha_galactosidase,Beta_galactosidase,Sulfatase,Cytolysin
UAB048_W7D7,UAB048,IV,#262fd4,4,0.000435069,0.000576898,1.98E-05,2.35E-05,,,3.12E-05,9.24E-05,0.000130001
UAB048_W9D7,UAB048,IV,#262fd4,5,0.001660726,0.001384772,9.15E-05,2.04E-05,3.08E-07,2.05E-05,2.58E-05,0.000262617,0.001010421
UAB052_W1D5,UAB052,V,#525254,1,0.001730265,0.000139899,8.00E-06,1.11E-06,1.45E-05,3.91E-05,0.000121731,0.000592777,0.000151922
UAB052_W4D2,UAB052,IV,#262fd4,2,0.000235581,0.000275553,0.000120697,3.25E-05,2.40E-06,9.85E-06,0.000124962,0.000244792,6.08E-05
UAB052_W5D7,UAB052,II,#7ac472,3,0.002231178,2.81E-05,1.54E-05,1.84E-06,9.26E-07,5.16E-05,6.93E-06,0.000620414,9.41E-06
UAB052_W8D3,UAB052,V,#525254,4,0.000781651,0.000376398,8.72E-05,2.61E-05,1.68E-05,3.36E-06,0.000138644,0.000445229,0.000829467
UAB052_W10D2,UAB052,V,#525254,5,0.000297338,5.48E-05,4.85E-06,5.90E-06,6.19E-06,8.74E-06,1.50E-05,7.06E-05,0.000111615
UAB060_W1D6,UAB060,IV,#262fd4,1,0.000941222,0.00121555,4.62E-05,1.76E-05,1.19E-05,4.90E-06,0.000141066,0.000455123,0.000551454
UAB060_W3D7,UAB060,IV,#262fd4,2,0.000467097,0.000782827,1.86E-05,9.34E-06,1.90E-06,3.00E-06,3.20E-05,0.000154819,0.000123306
UAB060_W5D7,UAB060,IV,#262fd4,3,0.00083166,0.000727509,4.00E-05,4.87E-05,9.48E-07,2.40E-06,0.000104631,0.000351552,0.001536592
UAB060_W7D7,UAB060,IV,#262fd4,4,0.001361406,0.000741018,6.80E-05,5.90E-05,3.16E-06,3.45E-05,0.000206578,0.000460317,0.001683851
UAB060_W10D2,UAB060,IV,#262fd4,5,0.000629339,0.001294957,5.74E-05,1.65E-05,2.96E-06,3.95E-07,0.000109577,0.000448175,0.00031133
UAB071_W1D7,UAB071,IV,#262fd4,1,0.001530139,0.000628372,0.000104558,6.04E-05,5.39E-07,9.89E-06,0.000273299,0.000445031,0.000849852
UAB071_W3D7,UAB071,IV,#262fd4,2,0.002105644,0.000544719,0.0001889,9.28E-05,,5.41E-06,0.000335579,0.000427729,0.00677109
UAB071_W5D7,UAB071,IV,#262fd4,3,0.001332803,0.00073664,6.44E-05,5.43E-05,1.47E-05,3.28E-05,0.000192183,0.000454389,0.00152618
UAB071_W7D7,UAB071,IV,#262fd4,4,0.001437161,0.000797725,1.81E-05,6.46E-06,4.14E-06,1.42E-06,2.91E-05,0.000271338,0.001360482
UAB071_W10D2,UAB071,IV,#262fd4,5,0.001742789,0.000639458,5.80E-05,3.54E-05,2.48E-06,8.03E-06,0.000111385,0.000270779,0.00337769
UAB077_W1D7,UAB077,IV,#262fd4,1,0.00143173,0.000586722,3.96E-05,2.83E-05,1.26E-06,3.57E-06,0.000358617,0.000263079,0.00671849
UAB077_W3D1,UAB077,IV,#262fd4,2,0.001160755,0.001604956,7.02E-05,6.18E-05,1.16E-07,4.49E-06,0.00038218,0.000177471,0.000271859
